id,price,date,bedrooms,sqft_lot,standart
3421079032,75000.0,2015-02-17,1,43377,low
40000362,78000.0,2014-05-06,2,16344,low
8658300340,80000.0,2014-05-23,1,5050,low
3028200080,81000.0,2015-03-24,2,9975,low
3883800011,82000.0,2014-11-05,3,10426,low
1623049041,82500.0,2014-05-08,2,22334,low
7999600180,83000.0,2014-05-29,2,8580,low
1523049188,84000.0,2015-04-30,2,20130,low
1322049150,85000.0,2015-03-05,2,9753,low
2422049104,85000.0,2014-09-15,2,9000,low
1788900230,86500.0,2014-07-22,3,9480,low
9320900420,89000.0,2014-10-14,3,4750,low
1721801591,89950.0,2015-02-19,1,4080,low
2114700500,90000.0,2015-04-18,1,4120,low
2734100835,90000.0,2015-03-03,1,4000,low
1049010620,90000.0,2014-05-13,2,2640,low
4239400300,90000.0,2014-11-29,3,2490,low
1423049019,90000.0,2014-05-23,2,7500,low
795000765,92000.0,2014-06-16,2,5500,low
2724200705,95000.0,2014-12-12,2,8550,low
6929602721,95000.0,2015-04-08,2,7000,low
7335400215,95000.0,2015-05-05,1,5746,low
6198400218,95000.0,2014-09-19,2,20450,low
1788800630,96500.0,2014-10-29,3,12091,low
5128000010,99000.0,2015-01-05,2,8236,low
3751600030,100000.0,2014-07-17,2,17334,low
6146600170,100000.0,2014-07-03,2,5240,low
7224000980,100000.0,2014-06-10,4,2685,low
8856000545,100000.0,2014-05-07,2,22000,low
1900000195,100000.0,2014-06-30,2,7623,low
7813200115,100000.0,2014-09-04,2,6426,low
123039604,102500.0,2014-07-01,2,4320,low
723049326,104950.0,2014-12-08,2,8254,low
1788800610,105000.0,2014-09-02,3,8400,low
4311700120,105000.0,2015-03-17,3,18109,low
2023049218,105500.0,2014-07-16,2,7740,low
7211402105,106000.0,2014-11-26,1,5700,low
7899800045,107000.0,2014-08-28,3,5120,low
7899800450,107000.0,2014-08-28,2,4720,low
7129800036,109000.0,2015-01-14,2,6900,low
9200000050,109500.0,2014-09-18,2,10625,low
5111400086,110000.0,2014-05-12,3,53143,low
3361401011,110000.0,2015-02-19,2,6120,low
8018600880,110000.0,2014-06-11,2,15000,low
4337000160,110000.0,2015-01-27,2,7590,low
2853600155,110000.0,2014-09-15,1,10280,low
1278000210,110000.0,2015-03-11,2,4524,low
5381000048,110000.0,2015-04-27,2,8250,low
3806000005,110000.0,2014-10-30,2,4746,low
2123049114,110700.0,2014-05-19,2,8064,low
8698100170,111300.0,2015-02-11,2,6000,low
2648500030,112000.0,2014-07-25,1,3230,low
7889600230,114000.0,2014-10-17,2,5200,low
892000025,114975.0,2014-07-10,2,6250,low
8151600101,115000.0,2015-01-16,2,7252,low
4031000520,115000.0,2014-07-08,1,9812,low
795000620,115000.0,2014-09-24,3,6250,low
104500730,115000.0,2015-02-24,3,7942,low
3356403820,115000.0,2014-12-05,2,16524,low
623049232,115000.0,2014-07-15,2,7980,low
7889601320,115000.0,2014-07-25,2,6000,low
1545807810,118000.0,2014-10-21,1,7957,low
1446403850,118125.0,2014-09-16,2,7153,low
